cdc_name,qslots2011,qslots2012,qslots2013,qslots2014,qslots2015
Bellaire Puritas Community Dev. Corp.,3,43,233,54,159
Buckeye Area Dev Corp.,69,62,230,119,144
Burton Bell Carr Dev. Corp.,294,237,382,453,691
"Campus District, Inc.",216,90,268,209,207
Collinwood Nottingham Villages Dev. Corp.,8,5,2,9,1
"Cudell Improvement, Inc.",210,193,223,186,196
Detroit Shoreway Community Dev. Org.,150,183,183,125,139
Fairfax Renaissance Dev. Corp.,20,16,19,14,3
Famicos Foundation,317,285,311,325,273
Flats Forward,0,0,0,0,0
Harvard Community Services Center,315,383,100,404,456
Historic Gateway Dev. Corp.,0,0,0,0,0
Historic Warehouse District,0,0,0,0,0
Hough Dev. Corp.,60,71,116,143,169
Kamm's Corners Dev. Corp.,82,89,65,24,82
Little Italy Redevelopment Corp.,0,0,0,0,0
Midtown Cleveland Inc.,40,44,40,34,102
Mt. Pleasant NOW Comm. Dev. Corp.,32,32,65,103,96
Northeast Shores Dev. Corp.,45,46,45,15,103
Ohio City Inc.,0,0,2,1,21
Old Brooklyn Community Dev. Corp.,76,80,100,100,104
Shaker Square Area Dev. Corp.,0,0,5,12,7
Slavic Village Dev. Corp.,0,3,9,12,43
St. Clair Superior Dev. Corp.,28,103,449,466,429
"Stockyards, Clark Fulton, Brooklyn Center Comm. Dev. Corp.",129,143,185,125,104
Tremont West Dev. Corp.,60,80,81,120,171
Union Miles Dev. Corp.,76,88,121,92,109
"University Circle, Incorporated",159,128,130,163,142
Westown Community Dev. Corp.,49,28,184,198,238
