cdc_name,grad_rate2013,grad_rate2014
Bellaire Puritas Community Dev. Corp.,68.52,72.41
Buckeye Area Dev Corp.,71.14,67.38
Burton Bell Carr Dev. Corp.,59.4,64.6
"Campus District, Inc.",50,999999
Collinwood Nottingham Villages Dev. Corp.,71.43,71.93
"Cudell Improvement, Inc.",62.07,70.89
Detroit Shoreway Community Dev. Org.,60.98,55
Fairfax Renaissance Dev. Corp.,61.7,48.78
Famicos Foundation,69.28,70.18
Flats Forward,999999,999999
Harvard Community Services Center,69.79,73.16
Historic Gateway Dev. Corp.,999999,999999
Historic Warehouse District,999999,999999
Hough Dev. Corp.,58.99,62.96
Kamm's Corners Dev. Corp.,65.52,75
Little Italy Redevelopment Corp.,999999,999999
Midtown Cleveland Inc.,999999,999999
Mt. Pleasant NOW Comm. Dev. Corp.,62.35,65.99
Northeast Shores Dev. Corp.,66.67,78.75
Ohio City Inc.,61.54,51.61
Old Brooklyn Community Dev. Corp.,70.61,67.78
Shaker Square Area Dev. Corp.,73.08,85.71
Slavic Village Dev. Corp.,59.32,57.72
St. Clair Superior Dev. Corp.,63.14,68.47
"Stockyards, Clark Fulton, Brooklyn Center Comm. Dev. Corp.",58.47,62.94
Tremont West Dev. Corp.,51.35,58.82
Union Miles Dev. Corp.,61,61.4
"University Circle, Incorporated",999999,999999
Westown Community Dev. Corp.,64.25,71.08
