NEIGHBOR10,_mort_rate1115,_infmort_rate1115,le1115,_w_mort_rate1115,_w_infmort_rate1115,_b_mort_rate1115,_b_infmort_rate1115,_a_mort_rate1115,_a_infmort_rate1115,_o_mort_rate1115,_o_infmort_rate1115,_h_mort_rate1115,_h_infmort_rate1115
Bellaire-Puritas,11.72,9.17,74.10404536784466,16.31,7.16,8.69,15.09,4.81,0,0.44,0,2.21,7.25
Broadway-Slavic Village,10.09,14.87,70.14080338552262,17.12,10.31,5.89,16.87,3.91,0,0.3,0,4.18,18.02
Brooklyn Centre,9.54,10.03,70.58741310281947,14.03,3.33,8.56,25.91,11.29,0,1.3,0,4.73,7.02
Buckeye-Shaker Square,10.14,11.99,76.84921281866481,12.05,13.51,10.42,11.59,1.93,0,1.98,,3.43,76.92
Buckeye-Woodhill,9.56,3.02,74.07649633756513,23.39,0,9.39,3.22,0,,2.75,0,3.76,0
Central,6.77,14.9,72.4212569861546,12.64,50,6.77,14.85,0,0,1.3,0,0,0
Clark-Fulton,7.86,4.9,73.6172214036212,15.38,4.2,3.95,5.13,9.03,0,0.92,0,4.41,5.49
Collinwood-Nottingham,9.03,12.9,75.06473561578953,22.19,0,7.83,14.03,16.94,0,1.09,0,0,0
Cudell,9.15,14.1,70.51341328221541,14.84,18.73,6.97,18.58,4.56,0,0.53,0,3.37,0
Cuyahoga Valley,2.5,43.48,79.74385432035326,3.49,200,1.34,0,0,0,0,,0,0
Detroit Shoreway,11.17,13.04,70.23476399605309,17.47,8.75,7.8,18.02,6.77,0,1.46,0,4.65,13.57
Downtown,4.32,10.1,73.69524388712445,3.4,0,6.19,25.97,0.55,0,1.9,0,1.95,0
Edgewater,10.11,3.28,73.80954355714155,11.78,0,8.68,13.33,5.44,0,1.17,0,4.01,0
Euclid-Green,10.87,12.95,73.1254684374998,24.61,0,10.39,14.01,0,0,0,0,3.91,0
Fairfax,14.46,13.04,71.69510042538064,21.89,0,14.63,14.67,4.06,0,0,0,5.49,0
Glenville,12.35,14.82,71.92036034778076,21.35,23.26,12.54,14.38,0,0,0,0,2.01,58.82
Goodrich-Kirtland Pk,11.46,18.32,69.57436155579653,15.8,0,16.3,46.73,5.46,0,5.89,0,4.17,0
Hopkins,10.96,0,78.80929997908243,13.35,0,0,0,67.75,,0,,0,0
Hough,14.2,9.74,71.24163557316592,14.93,55.56,14.57,8.87,0,0,1.22,0,2.67,0
Jefferson,9.4,15.37,73.95735962393816,12.46,20.37,7.02,14.6,5.3,20,1.36,0,2.42,4.1
Kamm's,10.68,8.45,77.12772312322706,12.28,5.32,7.04,6.97,3.74,0,0.38,0,4.19,43.8
Kinsman,10.91,22.86,70.37859968992483,16.1,0,11.08,23.6,0,0,0,0,3.5,0
Lee-Harvard,16.04,29.21,73.66944977372187,41.94,0,16.2,30.88,15.63,,0,0,4.9,0
Lee-Seville,15.41,31.25,70.96729111951754,36.95,0,15.61,32.52,203.24,0,0,0,0,
Mount Pleasant,11.75,13.91,71.54463162997955,29.03,40,11.82,13.61,33.87,0,1.69,0,2.8,0
North Shore Collinwood,12.45,11.82,74.1118963947298,18.09,5.81,10.36,13.55,17.42,0,1.88,0,0,0
Ohio City,9.95,8.61,71.60740369235101,11.82,4.39,10.37,14.49,4.19,0,0.92,0,6.53,0
Old Brooklyn,10.94,7.14,75.7944177591263,13.23,7.12,6.52,9.06,2.9,0,1.32,71.43,3.18,4.39
St.Clair-Superior,9.87,25.41,67.4460900838634,20.56,0,8.4,29.29,11.96,0,1.41,0,3.59,0
Stockyards,9.21,13.16,71.10194211912749,16.34,12.69,4.58,16.57,7.44,0,0.6,0,3.12,12.74
Tremont,7.69,8.99,72.23036903149408,9.9,0,6.4,25,2.64,0,0,0,5.12,13.33
Union-Miles,11.82,18.84,73.25950502652043,19.32,31.25,11.92,18.98,0,0,0.76,0,1.74,0
University,13.59,4,71.99127949611658,13.58,0,26.82,8.26,0,0,0,0,1.14,0
West Boulevard,8.66,12.82,72.05579350154044,13.64,15.23,6.06,14.02,5.92,0,1.13,35.71,2.83,7.67
Cleveland City,10.65,12.81,73.68976176410975,13.81,8.93,10.61,15.8,3.52,1.7,0.94,10.26,3.65,9.13
Cuyahoga County,10.81,9.17,77.67260422555147,12.37,5.19,10.03,15.59,2.87,1,0.79,8.44,3.24,7.27
