neighbor10,qslots2012,qslots2013,qslots2014,qslots2015,qslots2016
Bellaire-Puritas,38,228,61,211,251
Broadway-Slavic Village,3,9,12,43,138
Brooklyn Centre,74,86,94,40,27
Buckeye-Shaker Square,54,124,58,62,137
Buckeye-Woodhill,6,89,57,74,96
Central,162,335,390,555,544
Clark-Fulton,4,31,17,21,80
Collinwood-Nottingham,15,11,30,18,98
Cudell,193,223,183,196,208
Cuyahoga Valley,0,0,0,0,0
Detroit Shoreway,183,183,125,139,339
Downtown,36,36,0,0,45
Edgewater,0,0,0,0,0
Euclid-Green,0,280,269,268,296
Fairfax,16,19,14,3,40
Glenville,166,224,198,153,207
Goodrich-Kirtland Pk,0,0,0,0,20
Hopkins,0,0,0,0,0
Hough,19,28,33,79,137
Jefferson,16,16,9,4,105
Kamm's,89,65,24,82,230
Kinsman,79,52,66,141,88
Lee-Harvard,374,67,384,431,401
Lee-Seville,0,7,9,11,0
Mount Pleasant,61,74,68,63,100
North Shore Collinwood,45,43,12,99,135
Ohio City,0,2,1,21,96
Old Brooklyn,6,8,6,60,147
St.Clair-Superior,84,130,155,143,272
Stockyards,60,59,14,87,133
Tremont,80,81,116,171,294
Union-Miles,17,66,58,100,243
University,128,130,163,142,163
West Boulevard,5,182,186,194,270
Cleveland City,2013,2888,2812,3611,5340
