Neighborhood,mort_rate20092013,infmort_rate20092013,le20092013
Bellaire-Puritas,10.9,8.4,74.16778181084155
Broadway-Slavic Village,11.6,12.4,69.74855227912113
Brooklyn Centre,9.6,10.9,71.34165138201308
Buckeye-Shaker Square,10,8.9,76.96814347030094
Buckeye-Woodhill,7.9,10.8,77.97600378267835
Central,7.2,20.2,70.06338636681355
Clark-Fulton,8.8,11.8,73.36036347730382
Collinwood-Nottingham,8.3,18.9,77.5411427947661
Cudell,10.1,9.6,68.15277952165879
Cuyahoga Valley,1,0,82.27168481463897
Detroit Shoreway,11.9,15.6,69.36592309114262
Downtown,4.1,3.2,74.22176916050333
Edgewater,10.8,5.9,71.30518606968613
Euclid-Green,10.9,10.3,73.21032720190601
Fairfax,15.2,13.1,71.28104281102658
Glenville,12.6,14.4,72.12508228481165
Goodrich-Kirtland Pk,11.5,15.4,69.78353802833426
Hopkins,6.2,0,81.36212255130006
Hough,12.6,14.7,72.52770984163188
Jefferson,9.5,17.8,73.6498084423431
Kamm's,10.1,8.6,77.46925861501835
Kinsman,10.3,18.4,71.52647658057923
Lee-Harvard,15.6,28.3,75.92934853085386
Lee-Seville,14,26.8,71.97088409829603
Mount Pleasant,13.1,20.3,71.09500877298656
North Shore Collinwood,12.3,15.1,73.05868523579123
Ohio City,9.9,4.4,71.07731731788819
Old Brooklyn,9.9,8.2,76.58591156843903
St.Clair-Superior,10,21.4,69.419108931509
Stockyards,10.1,10.9,69.89972813514879
Tremont,7.1,11.6,73.06968615377285
Union-Miles,11.4,20.1,72.51313607589704
University,14.5,14.1,69.06397585144441
West Boulevard,7.6,12.8,73.2177771927226
Cleveland City,10.5,13.6,73.75497250395495
Cuyahoga County,10.6,9.1,77.67724452050817
,,,
Sources:  U.S. Census Bureau - 2009-2013 ACS 5-year estimates; Ohio Department of Health Vital Statistics Divisions,,,
,,,
1This study includes data provided by the Ohio Department of Health which should not be considered an endorsement of this study or its conclusions.,,,
2Life expectancy is calculated using the Life Expectancy Calculator created by Daniel Eayres published in the South East Public Health Observatory (SEPHO) website.,,,
