cdc_name,_ebll_c2010,_ebll_c2011,_ebll_c2012,_ebll_c2013,_ebll_c2014,_ebll_c1014avg
Bellaire Puritas Community Dev. Corp.,6.98,6.79,7.06,5.01,5.49,=SUM(B2:F2)/5
Buckeye Area Dev Corp.,20.52,21.36,19.41,18.26,16.98,=SUM(B3:F3)/5
Burton Bell Carr Dev. Corp.,12.53,10.35,9.99,6.15,9.85,=SUM(B4:F4)/5
"Campus District, Inc.",17.48,16.13,8.05,7.39,9.02,=SUM(B5:F5)/5
Collinwood Nottingham Villages Dev. Corp.,13.36,18.49,15.38,11.81,18.01,=SUM(B6:F6)/5
"Cudell Improvement, Inc.",19.88,18.16,13.63,10.34,13.39,=SUM(B7:F7)/5
Detroit Shoreway Community Dev. Org.,19.08,18.18,16.92,14.03,14.58,=SUM(B8:F8)/5
Fairfax Renaissance Dev. Corp.,18.68,24.18,13.59,15.05,20.12,=SUM(B9:F9)/5
Famicos Foundation,27.51,27.24,24.97,23.42,25.92,=SUM(B10:F10)/5
Flats Forward,3.7,15.56,7.69,9.62,0,=SUM(B11:F11)/5
Harvard Community Services Center,10.7,13.07,13.39,9.43,12.55,=SUM(B12:F12)/5
Historic Gateway Dev. Corp.,13.33,8.82,0,7.69,0,=SUM(B13:F13)/5
Historic Warehouse District,999999,0,999999,999999,999999,999999
Hough Dev. Corp.,24.91,20.75,20.53,15.49,16.32,=SUM(B15:F15)/5
Kamm's Corners Dev. Corp.,4.39,2.86,2.41,3.23,2.78,=SUM(B16:F16)/5
Little Italy Redevelopment Corp.,0,0,999999,4.55,0,999999
Midtown Cleveland Inc.,19.54,10.48,15.69,8.06,10.37,=SUM(B18:F18)/5
Mt. Pleasant NOW Comm. Dev. Corp.,22.83,22.92,18.98,15.82,15.38,=SUM(B19:F19)/5
Northeast Shores Dev. Corp.,14.59,16.33,9.25,8.33,17.78,=SUM(B20:F20)/5
Ohio City Inc.,18.57,18.64,15.43,12.23,7.57,=SUM(B21:F21)/5
Old Brooklyn Community Dev. Corp.,13.65,12.48,12.5,11.91,10.26,=SUM(B22:F22)/5
Shaker Square Area Dev. Corp.,10.15,8.56,7.77,11.89,13.22,=SUM(B23:F23)/5
Slavic Village Dev. Corp.,22.66,21.47,21.87,20.73,16.57,=SUM(B24:F24)/5
St. Clair Superior Dev. Corp.,27.2,28.65,23.51,17.24,22.94,=SUM(B25:F25)/5
"Stockyards, Clark Fulton, Brooklyn Center Comm. Dev. Corp.",21.91,19.1,19.97,18.69,15.13,=SUM(B26:F26)/5
Tremont West Dev. Corp.,15.58,13.15,19.91,15.09,11.52,=SUM(B27:F27)/5
Union Miles Dev. Corp.,22.61,20.62,20.03,16.37,17.26,=SUM(B28:F28)/5
"University Circle, Incorporated",15,16.22,7.5,6.9,3.57,=SUM(B29:F29)/5
Westown Community Dev. Corp.,15.26,9.9,12.85,9.38,9,=SUM(B30:F30)/5
