neighbor10,_attend2011,_attend2012,_attend2013,_attend2014,_attend2015,pctchgrt_attend
Bellaire-Puritas,91.06,91.55,90.21,90.32,88.1,-3.25
Broadway-Slavic Village,88.51,88.2,86.02,85.39,83.62,-5.52
Brooklyn Centre,90.09,89.86,88.29,87.06,85.54,-5.05
Buckeye-Shaker Square,89.74,89.85,88.24,87.19,86.02,-4.15
Buckeye-Woodhill,89.22,88.89,86.99,86.8,84.4,-5.4
Central,88,88.16,86.96,86.09,84.7,-3.75
Clark-Fulton,88.95,89.67,87.84,87.13,85.13,-4.29
Collinwood-Nottingham,89.59,89.67,87.33,87.74,86.23,-3.75
Cudell,89.21,88.82,86.69,86.67,85.32,-4.36
Cuyahoga Valley,86.77,91.07,84.5,85.84,78.06,-10.04
Detroit Shoreway,90.51,89.56,87.54,87.4,86.32,-4.63
Downtown,87.76,87.53,82.67,79.14,77.84,-11.3
Edgewater,91.27,91.42,89.68,89.66,88.5,-3.03
Euclid-Green,90.93,91.7,89.97,89.85,88.5,-2.67
Fairfax,90.52,90.01,88.33,87.64,87.12,-3.76
Glenville,90.21,90.09,89.06,87.76,86.01,-4.66
Goodrich-Kirtland Pk,90.32,89.65,87.62,85.13,84.92,-5.98
Hopkins,90,89.79,89.25,87.84,92.76,3.07
Hough,90.77,91.04,88.91,89.11,86.92,-4.24
Jefferson,91.41,92.01,90.66,90.59,88.38,-3.31
Kamm's,92.13,92.3,90.83,90.3,89.09,-3.3
Kinsman,89.18,88.73,85.51,84.83,83.78,-6.06
Lee-Harvard,91.94,91.88,90.51,90.63,87.97,-4.32
Lee-Seville,90.89,89.93,89.05,89.67,87.49,-3.74
Mount Pleasant,90.26,90.09,87.98,86.62,84.77,-6.08
North Shore Collinwood,91.78,91.81,89.31,89.63,87.4,-4.77
Ohio City,90.48,90.82,88.02,88.8,86.22,-4.71
Old Brooklyn,90.08,90.22,88.55,88.41,85.99,-4.54
St.Clair-Superior,87.88,88.56,87.44,87.35,85.5,-2.71
Stockyards,90.46,90.95,87.71,87.67,85.63,-5.34
Tremont,89.65,90.93,88.43,88.08,85.64,-4.47
Union-Miles,89.54,89.6,87.13,87.12,85.15,-4.9
University,89.03,87.53,85.42,84.02,85.51,-3.95
West Boulevard,89.55,89.39,87.53,87.93,85.93,-4.04
_Suburb,90.56,91.27,89.19,88.95,86.57,-4.41
_Unknown neighborhood,88.43,88.77,86.04,85.55,85.7,-3.09
Cleveland Municipal School District,90.02,90.08,88.2,87.85,86.04,-4.42
