cdc_name,hsg_den2011,hsg_den2012,hsg_den2013,hsg_den2014,hsg_den2015,f2011,f2012,f2013,f2014,f2015,shf2011,shf2012,shf2013,shf2014,shf2015,pctchg_hsgden,pctchg_f,pctchg_shf,_f11,_f12,_f13,_f14,_f15,pctchgrt_f,_shf11,_shf12,_shf13,_shf14,_shf15,pctchgrt_shf
Bellaire Puritas Community Dev. Corp.,1734.36,1730.61,1727.99,1724.43,1724.05,255,275,224,158,145,145,169,131,141,148,-0.59,-43.14,2.07,2.76,2.98,2.43,1.72,1.58,-42.75,1.57,1.83,1.42,1.53,1.61,2.55
Buckeye Area Dev Corp.,2388.74,2380.21,2349.88,2321.25,2321.25,222,210,207,156,168,89,144,99,130,150,-2.83,-24.32,68.54,3.17,3.01,3,2.29,2.47,-22.08,1.27,2.06,1.44,1.91,2.2,73.23
Burton Bell Carr Dev. Corp.,468.68,465.71,463.19,459.07,456.55,90,76,94,80,48,19,46,35,55,42,-2.59,-46.67,121.05,4.4,3.74,4.65,3.99,2.41,-45.23,0.93,2.26,1.73,2.74,2.11,126.88
"Campus District, Inc.",35.01,42.01,44.01,44.01,44.01,0,0,0,0,0,1,0,0,0,0,25.71,,-100,0,0,0,0,0,,2.86,0,0,0,0,-100
Collinwood Nottingham Villages Dev. Corp.,1580,1552.2,1520.85,1495.9,1481.65,93,97,77,80,50,46,54,44,39,62,-6.22,-46.24,34.78,4.19,4.45,3.61,3.81,2.41,-42.48,2.07,2.48,2.06,1.86,2.98,43.96
"Cudell Improvement, Inc.",2260.35,2248.68,2232.01,2220.34,2218.12,105,82,99,77,47,58,65,39,61,68,-1.87,-55.24,17.24,2.58,2.03,2.46,1.93,1.18,-54.26,1.43,1.61,0.97,1.53,1.7,18.88
Detroit Shoreway Community Dev. Org.,2148.78,2137.76,2120.62,2113.88,2113.88,127,64,76,64,54,47,56,37,39,35,-1.62,-57.48,-25.53,3.62,1.83,2.19,1.85,1.56,-56.91,1.34,1.6,1.07,1.13,1.01,-24.63
Fairfax Renaissance Dev. Corp.,1185.23,1157.04,1124.46,1099.4,1086.88,73,54,63,93,54,23,36,22,49,43,-8.3,-26.03,86.96,3.86,2.92,3.51,5.3,3.11,-19.43,1.22,1.95,1.23,2.79,2.48,103.28
Famicos Foundation,2347.65,2317.37,2275.65,2226.87,2218.79,232,214,169,115,239,108,133,74,96,82,-5.49,3.02,-24.07,3.32,3.11,2.5,1.74,3.62,9.04,1.55,1.93,1.09,1.45,1.24,-20
Flats Forward,93.87,94.11,93.63,93.63,93.63,3,3,3,2,0,0,4,0,1,3,-0.26,-100,,0.77,0.77,0.78,0.52,0,-100,0,1.03,0,0.26,0.78,
Harvard Community Services Center,2421.08,2414.45,2406.54,2392.26,2392.01,284,359,278,213,233,142,168,154,161,230,-1.2,-17.96,61.97,2.99,3.79,2.95,2.27,2.48,-17.06,1.5,1.77,1.63,1.72,2.45,63.33
Historic Gateway Dev. Corp.,425.05,416.63,416.63,416.63,425.05,0,0,0,0,1,1,0,0,0,0,0,,-100,0,0,0,0,0.99,,0.99,0,0,0,0,-100
Historic Warehouse District,2090.95,2090.95,2090.95,2090.95,2090.95,2,1,0,1,1,2,0,1,0,0,0,-50,-100,0.43,0.22,0,0.22,0.22,-48.84,0.43,0,0.22,0,0,-100
Hough Dev. Corp.,1354.25,1330.59,1300.53,1271.02,1264.06,125,131,114,114,86,46,81,38,60,86,-6.66,-31.2,86.96,2.57,2.74,2.44,2.5,1.89,-26.46,0.95,1.69,0.81,1.31,1.89,98.95
Kamm's Corners Dev. Corp.,1612.21,1611.48,1611.85,1608.9,1608.72,140,181,112,108,80,82,76,94,69,68,-0.22,-42.86,-17.07,1.6,2.07,1.28,1.23,0.91,-43.13,0.94,0.87,1.07,0.79,0.78,-17.02
Little Italy Redevelopment Corp.,2554.17,2629.11,2660.34,2660.34,2666.58,1,1,1,0,2,2,0,0,0,0,4.4,100,-100,0.24,0.24,0.23,0,0.47,95.83,0.49,0,0,0,0,-100
Midtown Cleveland Inc.,237.35,236.44,234.61,232.79,230.96,7,3,7,2,2,1,3,0,3,0,-2.69,-71.43,-100,2.69,1.16,2.72,0.78,0.79,-70.63,0.38,1.16,0,1.18,0,-100
Mt. Pleasant NOW Comm. Dev. Corp.,2833.88,2818.92,2763.59,2707.36,2704.64,183,256,132,149,218,77,139,82,97,157,-4.56,19.13,103.9,2.93,4.12,2.17,2.5,3.66,24.91,1.23,2.24,1.35,1.62,2.63,113.82
Northeast Shores Dev. Corp.,1806.55,1796.27,1784.27,1768.16,1758.56,192,188,183,104,108,75,113,92,93,93,-2.66,-43.75,24,3.64,3.59,3.52,2.02,2.11,-42.03,1.42,2.16,1.77,1.8,1.81,27.46
Ohio City Inc.,1791.01,1778.57,1765.24,1747.46,1749.24,41,24,33,31,21,20,23,22,20,17,-2.33,-48.78,-15,2.03,1.2,1.66,1.58,1.07,-47.29,0.99,1.15,1.11,1.02,0.86,-13.13
Old Brooklyn Community Dev. Corp.,1972.19,1969.58,1963.68,1958.32,1957.23,355,430,320,234,223,168,195,214,223,206,-0.76,-37.18,22.62,2.47,3,2.24,1.64,1.56,-36.84,1.17,1.36,1.5,1.56,1.45,23.93
Shaker Square Area Dev. Corp.,2220.48,2216.84,2214.41,2211.98,2210.76,67,53,41,26,24,18,28,30,32,27,-0.44,-64.18,50,3.67,2.91,2.25,1.43,1.32,-64.03,0.99,1.54,1.65,1.76,1.48,49.49
Slavic Village Dev. Corp.,1812.72,1793.79,1758.14,1719.85,1718.09,269,265,253,243,160,166,171,107,154,231,-5.22,-40.52,39.16,3.27,3.25,3.17,3.11,2.05,-37.31,2.02,2.1,1.34,1.97,2.96,46.53
St. Clair Superior Dev. Corp.,1385.74,1363.35,1340.3,1314.34,1307.45,366,304,239,182,274,158,236,117,129,138,-5.65,-25.14,-12.66,3.5,2.95,2.36,1.83,2.78,-20.57,1.51,2.29,1.16,1.3,1.4,-7.28
"Stockyards, Clark Fulton, Brooklyn Center Comm. Dev. Corp.",1863.72,1847.88,1817.2,1795.75,1792.14,298,263,206,220,167,137,152,143,180,172,-3.84,-43.96,25.55,3.21,2.85,2.27,2.46,1.87,-41.74,1.47,1.65,1.58,2.01,1.92,30.61
Tremont West Dev. Corp.,1314.81,1311.82,1311.82,1302.25,1311.82,35,24,23,24,17,12,16,12,21,11,-0.23,-51.43,-8.33,1.59,1.09,1.05,1.1,0.78,-50.94,0.55,0.73,0.55,0.96,0.5,-9.09
Union Miles Dev. Corp.,2279.6,2267.51,2240.71,2193.15,2193.15,309,321,200,158,255,103,196,119,123,188,-3.79,-17.48,82.52,3.56,3.72,2.35,1.89,3.05,-14.33,1.19,2.27,1.4,1.47,2.25,89.08
"University Circle, Incorporated",204.05,224.56,231.74,234.81,236.86,1,0,1,0,0,4,0,0,1,1,16.08,-100,-75,0.5,0,0.44,0,0,-100,2.01,0,0,0.44,0.43,-78.61
Westown Community Dev. Corp.,2664.63,2654.82,2647.47,2636.26,2634.86,226,226,213,172,122,133,132,124,139,163,-1.12,-46.02,22.56,2.97,2.98,2.82,2.29,1.62,-45.45,1.75,1.74,1.64,1.85,2.17,24
